ID,loc_x,loc_y,loc_z,pitch,yaw,roll
52,-120.91580963134766,-112.41664123535156,-1.52587890625e-05,360.0,270.3935546875,0.0
53,-120.8814697265625,-117.4165267944336,-1.52587890625e-05,360.0,270.3935546875,0.0
54,-120.84712982177734,-122.41641235351562,-1.52587890625e-05,360.0,270.3935546875,0.0
55,-131.65994262695312,-76.91120147705078,-1.52587890625e-05,0.0,90.39353942871094,0.0
56,-131.69427490234375,-71.91131591796875,-1.52587890625e-05,0.0,90.39353942871094,0.0
57,-131.72862243652344,-66.91143798828125,-1.52587890625e-05,0.0,90.39353942871094,0.0
58,-131.76296997070312,-61.91156005859375,-1.52587890625e-05,0.0,90.39353942871094,0.0
59,-131.7973175048828,-56.911678314208984,-1.52587890625e-05,0.0,90.39353942871094,0.0
60,-131.83164978027344,-51.91179275512695,-1.52587890625e-05,0.0,90.39353942871094,0.0
61,-131.86599731445312,-46.91191482543945,-1.52587890625e-05,0.0,90.39353942871094,0.0
62,-131.9003448486328,-41.91202926635742,-1.52587890625e-05,0.0,90.39353942871094,0.0
63,-131.93467712402344,-36.912147521972656,-1.52587890625e-05,0.0,90.39353942871094,0.0
64,-131.96902465820312,-31.91226577758789,-1.52587890625e-05,0.0,90.39353942871094,0.0
65,-132.0033721923828,-26.912384033203125,-1.52587890625e-05,0.0,90.39353942871094,0.0
66,-128.16001892089844,-76.88716125488281,-1.52587890625e-05,0.0,90.39353942871094,0.0
67,-128.19436645507812,-71.88727569580078,-1.52587890625e-05,0.0,90.39353942871094,0.0
68,-128.2287139892578,-66.88739776611328,-1.52587890625e-05,0.0,90.39353942871094,0.0
69,-128.26304626464844,-61.88751983642578,-1.52587890625e-05,0.0,90.39353942871094,0.0
70,-128.29739379882812,-56.887638092041016,-1.52587890625e-05,0.0,90.39353942871094,0.0
71,-128.3317413330078,-51.887752532958984,-1.52587890625e-05,0.0,90.39353942871094,0.0
72,-128.3660888671875,-46.887874603271484,-1.52587890625e-05,0.0,90.39353942871094,0.0
73,-128.40042114257812,-41.88798904418945,-1.52587890625e-05,0.0,90.39353942871094,0.0
74,-128.4347686767578,-36.88810729980469,-1.52587890625e-05,0.0,90.39353942871094,0.0
75,-128.4691162109375,-31.888225555419922,-1.52587890625e-05,0.0,90.39353942871094,0.0
76,-128.50344848632812,-26.888343811035156,-1.52587890625e-05,0.0,90.39353942871094,0.0
